item_number,component_id,component_name,component_type
8011189,7000036,"Chicken Tender, Fully Cooked Brakebush (Diced)",HDR_RECIPE
8008707,7000036,"Chicken Tender, Fully Cooked Brakebush (Diced)",HDR_RECIPE
8011188,7000036,"Chicken Tender, Fully Cooked Brakebush (Diced)",HDR_RECIPE
8008706,7000036,"Chicken Tender, Fully Cooked Brakebush (Diced)",HDR_RECIPE
8011197,7000036,"Chicken Tender, Fully Cooked Brakebush (Diced)",HDR_RECIPE
8011198,7000036,"Chicken Tender, Fully Cooked Brakebush (Diced)",HDR_RECIPE
8005006,7000040,"Supergreens Mix [1x Deep, 6” Half Hotel]",HDR_RECIPE
8009065,7000038,"Pico de Gallo (HDR) [Mixed, 13x]",HDR_RECIPE
8005119,7000038,"Pico de Gallo (HDR) [Mixed, 13x]",HDR_RECIPE
8008456,7000010,"Greek Salad, Grab & Go [HDR Recipe]",HDR_RECIPE
8011217,7000024,"White Rice (Cooked) [Rice Cooker, 21x]",HDR_RECIPE
8011217,7000029,"Diced Adobo Chicken Thighs [Cooked, 3x]",HDR_RECIPE
8005894,7000011,"Chicken Caesar Salad, Grab & Go [HDR Recipe]",HDR_RECIPE
8005895,7000012,"Thai Peanut Tofu Salad, Grab & Go [HDR Recipe]",HDR_RECIPE
8008925,7000014,"Salmon Poke Bowl, Grab & Go [HDR Recipe]",HDR_RECIPE
8009346,7000016,"Watermelon & Feta Salad, Grab & Go [HDR Recipe]",HDR_RECIPE
8009347,7000015,"Strawberry Pecan Salad, Grab & Go [HDR Recipe]",HDR_RECIPE
8005893,7000009,"Buffalo Salad, Grab & Go [HDR Recipe]",HDR_RECIPE
8010619,3003690,Tomato & Bacon Sauce (Cooked) [BT],BENCHTOP
8008927,7000013,"Harvest Chicken Salad, Grab & Go [HDR Recipe]",HDR_RECIPE
8004637,4000243,"Tortilla Flour 13"" HC",HDR_CONSUMABLE_ITEM
8005708,4000362,"Sirloin,10oz [Pouch] HC",HDR_CONSUMABLE_ITEM
8005708,4000439,"Oil, Canola HC",HDR_CONSUMABLE_ITEM
8006134,4000053,"Fries, French, Fridge Friendly, 5/16"" (Buyout) HC",HDR_CONSUMABLE_ITEM
8006134,4000522,"Oil, Canola, Frying HC",HDR_CONSUMABLE_ITEM
8006134,4000521,"Salt, Kosher, Diamond Crystal HC",HDR_CONSUMABLE_ITEM
8007145,4000448,Cucumber Dill Mix HC,HDR_CONSUMABLE_ITEM
8008463,4000439,"Oil, Canola HC",HDR_CONSUMABLE_ITEM
8008463,4000484,"NY Strip,12oz [Pouch] HC",HDR_CONSUMABLE_ITEM
8008516,4000053,"Fries, French, Fridge Friendly, 5/16"" (Buyout) HC",HDR_CONSUMABLE_ITEM
8008516,4000521,"Salt, Kosher, Diamond Crystal HC",HDR_CONSUMABLE_ITEM
8008516,4000522,"Oil, Canola, Frying HC",HDR_CONSUMABLE_ITEM
8008780,4000475,"Chicken, Wing, Bone In, Fully Cooked, BrakeBush HC",HDR_CONSUMABLE_ITEM
8008780,4000536,Sweet and Sticky Sauce (Tejas) HC,HDR_CONSUMABLE_ITEM
8008780,4000522,"Oil, Canola, Frying HC",HDR_CONSUMABLE_ITEM
8008809,4000053,"Fries, French, Fridge Friendly, 5/16"" (Buyout) HC",HDR_CONSUMABLE_ITEM
8008809,4000522,"Oil, Canola, Frying HC",HDR_CONSUMABLE_ITEM
8008809,4000521,"Salt, Kosher, Diamond Crystal HC",HDR_CONSUMABLE_ITEM
8009068,4000555,"Sauce, Cheesesteak, 4oz. (Co-Man) HC",HDR_CONSUMABLE_ITEM
8009068,4000522,"Oil, Canola, Frying HC",HDR_CONSUMABLE_ITEM
8009068,4000053,"Fries, French, Fridge Friendly, 5/16"" (Buyout) HC",HDR_CONSUMABLE_ITEM
8009068,4000521,"Salt, Kosher, Diamond Crystal HC",HDR_CONSUMABLE_ITEM
