item_number,item_name,line_build_id,procedures_step_order,sub_steps_order,procedures_activity,procedures_appliance,procedures_cooking_phase,sub_steps_title,sub_steps_related_item_number,cooking_time,resting_time,hold_time,step_time,apply_option_id,apply_option_value_id,restaurant_id,procedures_option_type,procedures_option_name,procedures_option_value_name
8007270,"Pepperoni, Sausage, & Meatball Pizza, Di Fara 3.0",5bca752b-abf9-4979-834d-1eba0829f776,1,3,GARNISH,,,Grated Parmesan,,,,,01:00,,,b3f5cb04-8643-4c8a-a17b-c65f7f8ef50e,,,
8010470,"12"" Gluten-Free Pizza Vodka, Alanza Pizza",49f6cda0-5d81-4043-a900-44ff3c43b214,1,4,GARNISH,,,"Vodka Sauce [Pouch, 100g], Spiral Pour",,,,,00:30,,,d20697b2-2119-4206-bdbd-55a01494518d,,,
8010062,"French Fries, Bellies",261fee20-4117-4fa3-81fa-6d13b1f57f03,1,1,COOK,FRYER,,Fries,4000053,04:00,,,04:15,,,f75d58c1-a8f0-441f-8d0c-a7cff9a85a81,,,
8010670,"BYO Thai Peanut Salad, Royal Greens PRESET",bb5df768-5236-4fd7-8336-a106621c15ed,7,10,GARNISH,,,Lemon Wedge,,,,,00:15,,,,,,
8009955,"Chicken Tenders, Bellies",91e4735d-60cb-4f87-b785-b421f744837c,5,1,COMPLETE,,,Chicken Tenders,,,,05:00,00:30,,,e1cb34f2-9af4-40be-991f-f1b5c756c578,,,
8010062,"French Fries, Bellies",b217ffc7-7ddb-403d-bd25-6cec9ad7426e,1,1,COOK,FRYER,,Fries,4000053,03:30,,,04:00,,,0ddf788c-de85-4ff8-bfef-a883d80adb8d,,,
8009456,"Chicken Tenders, Detroit Brick",2881083a-b49b-4fba-a558-106d1152ef38,1,2,COOK,FRYER,,"POST COOK: Chicken- Clamshell + White Parchment Paper, folded to fit",,05:00,,,05:45,,,7350ff44-87e4-4693-956b-997d56375567,,,
8008414,"6pc Boneless Truffle Parmesan Wings, Wing Trip",4c9bba64-117b-44dd-879a-1a6465c69e4b,2,2,GARNISH,,,Wings,,,,,00:15,,,29ba5400-c384-4760-8850-22e7b9ffda88,,,
8010867,"Mexican Fries, Limesalt",c0540d2c-29c1-4183-9d41-8cb9545d87b6,3,1,COMPLETE,,,Place in Bag,,,,30:00,00:15,,,de6ed72c-9589-49be-a741-28919862d3dc,,,
8005006,"Salad (BYO), Limesalt",d6885207-6519-44c0-9666-ad38fdabd50d,22,14,GARNISH,,,Chipotle Ranch - 2oz Portion Cup,,,,,00:15,,,cbc46539-86cb-46ec-af3f-05fc0d7b3495,,,
8010929,Basics Bowl (RICE PILOT) PRESET,9be4947f-908d-46d8-9be9-8561431fa641,3,1,COOK,RICE_COOKER,,White Rice,,45:00,,,45:15,,,,,,
8010439,"Pizza Classica 12"", Alanza Pizza",f237ae61-23ea-4bef-b9dc-94ad1e86fb23,1,2,GARNISH,,,Alanza Pizza Sauce,,,,,00:30,,,8ffa0ca3-880e-47cb-9446-dfd31525ff45,,,
8010431,"Pizza Vodka 12"", Alanza Pizza",5b31c3ce-638a-4daf-81c9-828463d13973,2,1,COOK,PIZZA_CONVEYOR_OVEN,,Pizza ,,05:10,,,05:35,,,128c23ec-a41f-421f-8076-9992a254e0f4,,,
8007269,"Pepperoni Round Pizza, Di Fara 3.0",9a230e63-d047-4d63-a026-668ab31e2056,4,1,VEND,,,(2 ea) Chili Flake Packets,,,,,00:00,,,eeb39663-8fea-4773-a1ff-f5ac0f4c1525,,,
